1000010	1000010
1000045	1000045
1000087	1000087
1000091	1000091
1000246	1000246
1000341	1000341
1000693	1000693
1000707	1000707
1000867	1000867
1001081	1001081
1001170	1001170
1001245	1001245
1001933	1001933
1002163	1002163
1002294	1002294
1002436	1002436
1002448	1002448
1002455	1002455
1002489	1002489
1002720	1002720
1002733	1002733
1002850	1002850
1002864	1002864
1002925	1002925
1002956	1002956
1003225	1003225
1003429	1003429
1003441	1003441
1003607	1003607
1003797	1003797
1003887	1003887
1004059	1004059
1004110	1004110
1004169	1004169
1004268	1004268
1004354	1004354
1004615	1004615
1004623	1004623
1005160	1005160
1005178	1005178
1005389	1005389
1005475	1005475
1005501	1005501
1005695	1005695
1006027	1006027
1006073	1006073
1006221	1006221
1006243	1006243
1006590	1006590
1006696	1006696
1006731	1006731
1006782	1006782
1006853	1006853
1006911	1006911
1006997	1006997
1007013	1007013
1007108	1007108
1007420	1007420
1007459	1007459
1008023	1008023
1008040	1008040
1008454	1008454
1008460	1008460
1008483	1008483
1008497	1008497
1008924	1008924
1008948	1008948
1008989	1008989
1009078	1009078
1009347	1009347
1009638	1009638
1009699	1009699
1009930	1009930
1009992	1009992
1010140	1010140
1010179	1010179
1010226	1010226
1010564	1010564
1010717	1010717
1010772	1010772
1011000	1011000
1011017	1011017
1011106	1011106
1011130	1011130
1011151	1011151
1011437	1011437
1011484	1011484
1011876	1011876
1011923	1011923
1011957	1011957
1011994	1011994
1012161	1012161
1012277	1012277
1012403	1012403
1012526	1012526
1012816	1012816
1013211	1013211
1013395	1013395
1013449	1013449
1013566	1013566
